Klient	PVU-Card Nr	Katalog	Art Nr	Cena	Nazwanie	Razmer	Zwet	Primechanie	URL	Discount	SiteOrder
Nazgul__mu		H&M	446705	14,9900	ArmellosesKleid	32	Naturwei?/Gemustert	2408_Nazgul__mu		1,0000	406
Nazgul__mu		H&M	429341	14,9900	GemustertesKleid	32	Schwarz	2409_Nazgul__mu		1,0000	406
Nazgul__mu		H&M	365545	5,0000	TanktopmitDruck	158/164	Gelb	2410_Nazgul__mu		1,0000	406
Nazgul__mu		H&M	365669	5,0000	Jerseytop	158/164	Hellrosa	2411_Nazgul__mu		1,0000	406
Nazgul__mu		H&M	381686	9,9900	Jeansshorts	164	Dunkelblau	2412_Nazgul__mu		1,0000	406
Nazgul__mu		H&M	370548	9,9900	Denimshorts	134	Dunkelblau	2413_Nazgul__mu		1,0000	406
Nazgul__mu		H&M	440794	17,9900	Clamdiggers	134	Blau/Kariert	2414_Nazgul__mu		1,0000	406
Nazgul__mu		H&M	333623	7,9900	2er-PackT-Shirts	134/140	Dunkelblau	2415_Nazgul__mu		1,0000	406
Nazgul__mu		H&M	366535	5,0000	TanktopmitDruck	134/140	Dunkelblau	2416_Nazgul__mu		1,0000	406
Nazgul__mu		H&M	366778	7,9900	T-ShirtausBaumwolle	134/140	Hellgraumeliert	2418_Nazgul__mu		1,0000	406
Nazgul__mu		H&M	442237	12,9900	Sneaker	35	Dunkelblau	2419_Nazgul__mu		1,0000	406
Nazgul__mu		H&M	373371	9,9900	Ballerinas	37	Silber	2420_Nazgul__mu		1,0000	406
Nazgul__mu		H&M	365495	19,9900	Sneaker	37	Blau	2421_Nazgul__mu		1,0000	406
Nazgul__mu		H&M	398084	9,9900	Espadrilles	37	Schwarz/Gemustert	2422_Nazgul__mu		1,0000	406
